Creamed Spinach Dip,1
Black Grape Compote,1
Rhubarb-Mascarpone Mousse Cake,1
Spice Cake with Caramelized Pears and Maple Buttercream,1
Grilled Bell Peppers with Criolla Sauce,1
Warm Berry Preserves,1
Bittersweet Chocolate-Orange Fondue,1
Quick Chicken and Chorizo Paella,1
Brazilian Chicken and Rice with Olives,1
Spicy Sausage and Gorgonzola Pizza,1
Roast Turkey with Pear and Port Gravy,1
Vanilla-Roasted Rhubarb and Strawberries,1
Grilled Balsamic-Marinated London Broil with Red Onions,1
Poached Fish with Spinach in Chili-Tomato Sauce,1
Double-Chocolate Almond Brownies,1
Roasted Chicken Legs with Jalapeño and Tomato,1
Three-Green Pasta with Scallops and Pesto Sauce,1
Grilled Pita with Greek Salad,1
"Sesame, Lemon and Curry Chicken Strips",1
Potato and Broccoli Croquettes,1
Fish Mixed Grill,1
Scallops with Apple-Curry Sauce,1
Brussels Sprouts with Shallots and Wild Mushrooms,1
Crispy Baby Yukon Gold Potatoes,1
"Flatbread Pizzas with Olives, Feta and Artichokes",1
Turkey Samosas,1
Citrus-Sage Roast Turkey Breast with Gravy: Small Crowd,1
Classic Apple Pie,1
Beef and Avocado Fajitas,1
Chicken Skewers with Meyer Lemon Salsa,1
Caramelized Potatoes,1
Romaine with Parmesan Dressing,1
Grilled Rib-Eye Steaks with Cucumber Relish,1
Pan-Seared Rib-Eye Steak with Béarnaise (Entrecôte Béarnaise),1
Hot and Sticky Apricot-Glazed Chicken,1
Chicken Tikka,1
Texas Beef Brisket Chili,1
"Pan-Baked Lemon Sole with Spinach, Olives, and Tomatoes",1
Chicken and Bell Pepper Fajitas,1
Citrus-Sage Roast Turkey with Gravy: Large Crowd,1
Crab-Corn Chowder,1
Orange-Molasses Grilled Chicken,1
Garlicked Chicken,1
Crunchy Fried Shrimp with Cayenne Aïoli,1
Venison Chops with Blackberry Compote,1
"Fried Pastry Spirals with Honey, Sesame, and Walnuts",1
Leek and Potato Soup,1
Twice-Baked Potatoes with Basil and Sour Cream,1
"Duck Breasts with Orange, Honey and Tea Sauce",1
Italian-Style Baked Haddock,1
Moroccan-Style Lamb Chops,1
Herb- and Spice-Roasted Beef Tenderloin with Red Wine-Shallot Sauce,1
Phyllo Cups with Chocolate Mousse and Fresh Fruit,1
Broccoli with Cheddar Vinaigrette,1
Black Bean Chili with Crispy Pork and Poblano Salsa,1
Strawberry-Topped Cheesecake with Graham Cracker Crust,1
Spice-Rubbed Salmon,1
Curried Beef and and Sugar Snap Peas Over Rice Noodles,1
Smoked Cheese and Sausage Lasagna,1
"Three-Day, Twice-Cooked Pork Roast with Fried-Herb Salsa Verde",1
Seared Salmon with Tomatillo Coulis,1
Grilled Steak and Potatoes with Charmoula Sauce,1
Apple and Dried-Cherry Lattice Pie,1
Steamed Sea Bass or Red Snapper,1
Grilled Tea-Brined Turkey with Tea-and-Lemon Gravy,1
Oven-Poached Fish in Olive Oil,1
Rolled Pork Loin Roast Stuffed With Olives and Herbs,1
Maple-Glazed Turkey with Dijon Gravy,1
Brown on Blonde Blondies,1
Short Rib and Vegetable Stew,1
Pork and Ham Loaf with Marmalade-Mustard Glaze,1
Thai Vegetables,1
Chocolate Chunk Oatmeal Coconut Cookies,1
Pastrami and Potato Hash with Fried Eggs,1
Grilled Seafood Salad Niçoise,1
Sesame Chicken and Stir-Fried Vegetables,1
Sticky Cinnamon Rolls,1
Asian Spring Rolls,1
Southern Mac and Cheese,1
"Penne, Spinach, Asparagus and Cashew Salad",1
Fried Fish with Moroccan-Style Herb Sauce,1
Lebanese-Style Tuna Salad with Tahini Dressing,1
Gratineed Gnocchi with Spinach and Ricotta,1
Cumin-Crusted Lamb with Apricots,1
Pan-Roasted Sizzling Shrimp,1
Salade Niçoise Sandwich,1
Thai-Style Broiled Chicken Wings with Hot-and-Sour Sauce,1
Hoisin and Honey Pork Riblets,1
Chocolate Layer Cake with Chocolate-Raspberry Frosting,1
Roast Magret Duck Breasts with Shaved Black Truffles,1
Braised Beef and Veal with Tomato Gravy,1
Pecan Spice Layer Cake with Cream Cheese Frosting,1
Breakfast Banh Mi Sandwich with Eggs and Sausage,1
Coconut and Macadamia Nut Banana Breads,1
Pork and Chive Dumplings with Dried Shrimp,1
Beef Empañadas,1
"Penne with Tuna, Basil, and Lemon",1
Cherry-Vanilla Bean Ice Cream with Cherry Sauce,1
Chocolate-Glazed Chocolate Pear Torte,1
Lamb Chops with Parsley-Breadcrumbs Crust,1
Mushroom Sauté,0
Cranberry-Fig Compote,0
Steamed Mussels with Tomatoes and Garlic Toasts,0
Lemon-Scented Ricotta and Mascarpone Cream Puffs,0
"Orecchiette with Corn, Basil, and Pine Nuts",0
"Patatine e Carciofi Arrosto
                roasted Potatoes and Artichokes",0
Three Dipping Sauces,0
Black Bean Chili with Butternut Squash and Swiss Chard,0
Lemon Cajun Sweet Dough Pies,0
Golden Raisin Oat Bran Muffins,0
Lemon-Dill Sauce,0
Sicilian-Style Pasta with Sardines,0
Goddess Guacamole,0
Linguine Primavera,0
"Chicken Breasts Stuffed with Zucchini, Roasted Red Pepper, and Goat Cheese",0
Celery-Root and Apple Purée,0
Chorizo-Filled Dates,0
Rosemary Popovers,0
Cold Asian Noodle Salad with Chicken and Cucumbers,0
Mussels with Herbed Bread Crumbs,0
Fig Salad with Goats Milk Yogurt and Pepper Cress,0
Baked Figs with Grand Marnier and Whipped Cream,0
Grilled Fish with Cilantro Chutney in Banana Leaves,0
"Wild Arugula Salad with Garlic Croutons, Shaved Parmesan, and Lemon",0
Chicken Soup with Avocado and Crispy Tortilla Strips,0
Grilled Vegetables with Chipotle Dressing,0
Fresh-from-the-Garden Tomato Aspic,0
Pasta and Mushrooms with Parmesan Crumb Topping,0
"Penne with Pancetta, Sage, and Mushrooms",0
Spiced Chickpea Sauce,0
Barley and Corn Salad with Arugula and Green Beans,0
Fresh Semolina Orecchiette,0
Cilantro-Tomato Salsa,0
Warm Goat Cheese Salad with Dried Cherries and Pancetta Vinaigrette,0
Caramelized-Onion Pizza with Mushrooms,0
"Artichoke, Fennel, and Edamame Salad",0
Sherried Cream of Portobello Mushroom Soup,0
Mesquite-Grilled Pizza,0
Goat Cheese and Tomato Tart,0
Linguine with Clams and Wild Mushrooms,0
"Quinoa Salad with Kale, Pine Nuts, and Parmesan",0
Grilled Eggplant with Fresh Hot Sauce and Crispy Eggs,0
Sweet Potatoes with Apple Juice and Spices,0
Thai Curry,0
Cream of Broccoli Soup,0
Mozzarella-Stuffed Grilled Portobellos with Balsamic Marinade,0
Cheesy Zucchini and Red Onion Flatbread,0
Seafood Risotto (Risotto ai Fruitti di Mare),0
Arugula-Chicory Salad with Pine Nuts and Goat-Cheese Toasts,0
Beets with Balsamic Vinegar,0
Parsley-Root Soup with Truffled Chestnuts,0
Ash-Roasted Sweet Potatoes,0
Turkey and Mushroom Risotto,0
Steamed Clams With Chickpeas and Green Garlic,0
Steamed Mussels with Chipoltes and Coconut Milk,0
Scallop-Stuffed Pickled Peppers,0
Rice Pilaf With Almonds and Raisins,0
Goat Cheese and Red Pepper Phyllo Triangles with Olive Frisée Salad,0
Linguine with Clams in Black Bean Sauce,0
Thai Spices Shrimp Salad with Asian Greens and Pesto Dressing,0
"Avocado, Grapefruit, and Watercress Salad with Roquefort and Paprika Dressing",0
Wild-Mushroom and Potato Stew,0
Vegetable Stew with Couscous,0
Mango and Avocado Salad with Peanut Dressing,0
Mango Cucumber Salsa,0
Radish Slaw,0
Cold Pea Soup With Herbed Oil Swirl,0
Glazed Cooked and Raw Asparagus with Butter and Parmesan,0
3-Ingredient Lemony Green Beans With Frizzled Leeks,0
Mushroom and Cheddar Cheese Soup,0
Trio of Salads,0
Kims Black-Eyed Pea Dip,0
Yellow Pepper and Corn Salad With Turmeric Dressing,0
Roasted Mushroom and Barley Gravy,0
Broccoli Rabe Crostini,0
Miso Soup,0
Slow-Cooked Tomato and Herb White Beans,0
Chilled Avocado and Zucchini Soup,0
Shredded Cabbage Salad With Pomegranate and Tomatoes,0
Cumin-Scented Beet Latkes,0
Grilled Belgian Endive and Blue Cheese Gratinée,0
Baked Oysters with Bacon and Leeks,0
Mushroom and Brown Rice Veggie Burger,0
Lime-Pickled Red Onions,0
Sugarcane Shrimp,0
Peppered Goat Cheese and Walnut Croutons,0
Grilled Chicken Breasts in Spiced Yogurt,0
Chicken-Orecchiette Soup with Cilantro and Lemon,0
"Apricot, Cornmeal, and Sage Cookies",0
Four-Cheese Ravioli with Mushrooms,0
"Arugula Salad with Chanterelles, Pears, Parmesan, and Cider Vinaigrette",0
"Apple Cider, Onion, and Raisin Chutney",0
Shrimp Phyllo Purses with Tomato Chermoula Sauce,0
Stuffed Radishes,0
Zucchini-Herb Fritters with Garlic Yogurt,0
Apricots with Amaretto Syrup (Albicocche Ripiene),0
Vegetarian Brown Rice Salad With Parsnips and Whipped Ricotta,0
Fennel Gratin with Walnut-Thyme Breadcrumbs,0
Curried Cheddar Date Bites,0
Frisée and Radish Salad with Goat Cheese Croutons,0
